Symbol	logFC_tum	logFC_norm	delta_logFC
ACVRL1	0.758834615384615	1.30948916256158	-0.550654547176965
ACY1	-0.314742307692307	0.62759507389163	-0.9423373815839371
ACY3	1.98411153846154	-3.24306699507389	5.22717853353543
ACYP1	0.576980769230769	0.0999014778325118	0.4770792913982572
ACYP2	0.67225	0.133130541871922	0.539119458128078
ADA	0.364961538461539	1.8817118226601	-1.516750284198561
ADA2	0.495880769230769	0.583576847290642	-0.08769607805987295
ADAD1	0.601523076923081	0.219063054187194	0.3824600227358871
ADAD2	0.0386269230769223	-9.0019566502463	9.040583573323222
ADAL	1.20958846153846	1.85855024630542	-0.64896178476696
ADAM10	1.11950769230769	2.99895714285714	-1.8794494505494501
ADAM11	-0.935065384615385	-1.86652807881774	0.9314626942023551
ADAM12	1.28307692307692	6.82996699507389	-5.54689007199697
ADAM15	-0.360353846153848	-2.37021477832512	2.0098609321712724
ADAM17	1.68769615384616	1.10087931034482	0.5868168435013399
ADAM18	0.582000000000003	0.248766995073888	0.33323300492611496
ADAM19	1.67786923076923	2.88075221674877	-1.2028829859795398
ADAM20	2.32078846153847	-0.687703448275863	3.008491909814333
ADAM21	2.00820384615385	3.81773940886699	-1.80953556271314
ADAM22	2.39159615384615	0.744085221674878	1.6475109321712718
ADAM23	1.25748846153846	2.36172167487685	-1.10423321333839
ADAM28	2.05231153846154	-2.80834581280788	4.8606573512694204
ADAM29	0.299826923076925	0.425034482758621	-0.125207559681696
ADAM30	0.470050000000002	0.204853201970444	0.26519679802955803
ADAM32	2.58032307692308	2.43078916256158	0.14953391436149976
ADAM33	1.04316153846154	2.52044433497536	-1.4772827965138198
ADAM8	0.423011538461538	-2.01592167487685	2.438933213338388
ADAM9	1.76423461538462	3.64017192118227	-1.87593730579765
ADAMDEC1	1.60318461538462	-1.64104285714286	3.24422747252748
ADAMTS1	2.25199230769231	3.23404926108375	-0.9820569533914401
ADAMTS10	1.39571153846154	-0.499731527093594	1.895443065555134
ADAMTS12	1.10715384615385	4.02641477832512	-2.91926093217127
ADAMTS13	0.448361538461539	0.622481773399016	-0.17412023493747703
ADAMTS14	0.70355	-1.24526995073892	1.94881995073892
ADAMTS15	1.38251923076923	0.412083743842364	0.970435486926866
ADAMTS16	2.49174615384616	0.933276354679804	1.5584697991663559
ADAMTS17	0.011176923076923	-5.33353497536945	5.3447118984463735
ADAMTS18	1.02293076923077	-1.30484334975369	2.3277741189844603
ADAMTS19	0.493038461538461	-2.25637389162562	2.749412353164081
ADAMTS2	-0.497742307692308	4.71638472906404	-5.214127036756348
ADAMTS20	3.84461538461539	0.404798029556641	3.4398173550587487
ADAMTS3	2.37056153846154	0.434145812807881	1.9364157256536592
ADAMTS4	1.24118846153846	0.959118226600986	0.2820702349374741
ADAMTS5	1.82993461538461	3.26320541871921	-1.4332708033346
ADAMTS6	1.91194230769231	5.36315665024631	-3.451214342554
ADAMTS7	1.2563	3.1017645320197	-1.8454645320197
ADAMTS8	2.63214615384615	-3.31553842364531	5.94768457749146
ADAMTS9	1.26943846153846	-1.6061921182266	2.87563057976506
ADAMTSL1	1.65675	5.46759852216749	-3.8108485221674906
ADAMTSL2	0.631911538461538	-4.47473152709359	5.1066430655551285
ADAMTSL3	0.91605	-5.08193004926108	5.997980049261081
ADAMTSL4	0.620623076923077	0.24645369458128	0.3741693823417971
ADAMTSL5	-0.1331	1.95829753694581	-2.09139753694581
ADAP1	0.635111538461538	-1.23987832512315	1.874989863584688
ADAP2	1.14821923076923	-5.03162315270936	6.17984238347859
ADAR	0.735861538461541	0.719546798029555	0.016314740431985997
ADARB1	0.897653846153846	2.31873743842365	-1.4210835922698037
ADARB2	2.91636538461539	-6.71644778325122	9.63281316786661
ADAT1	0.708857692307692	0.617246305418717	0.09161138688897508
ADAT2	1.46078461538462	0.281935960591134	1.178848654793486
ADAT3	-0.1317	-1.61524778325123	1.48354778325123
ADCK1	-0.0312230769230775	-0.731511330049261	0.7002882531261836
ADCK2	0.149319230769228	-1.29317339901478	1.442492629784008
ADCK5	0.218707692307693	-0.775702955665023	0.9944106479727159
ADCY1	0.736696153846154	-0.790081773399015	1.526777927245169
ADCY10	1.79881538461539	-0.170316748768473	1.969132133383863
ADCY2	-2.11384230769231	-7.3509251231527	5.23708281546039
ADCY3	0.687603846153845	0.301918719211827	0.38568512694201795
ADCY4	0.514423076923077	-2.27348029556651	2.787903372489587
ADCY5	0.920696153846153	-2.08536847290641	3.006064626752563
