Symbol	logFC_tum	adj_tum	logFC_norm	adj_norm	dir_tum	dir_norm	sig_tum	sig_norm	delta_logFC
ADGRF4	1.25571538461539	0.366562163623032	-11.3129330049261	2.83341320909753e-205	NS	DOWN	False	True	12.56864838954149
ADGRG1	0.244873076923077	0.563048931254801	-6.72346059113301	1.01658921686758e-244	NS	DOWN	False	True	6.968333668056087
ADGRG3	0.528176923076924	0.464463353136775	-5.76427980295566	3.94662231122866e-81	NS	DOWN	False	True	6.292456726032585
ADGRG5	1.21367307692308	0.0629319343424653	-5.34735714285713	2.1510914427315e-93	NS	DOWN	False	True	6.561030219780211
ADGRG6	2.05959230769231	0.0062996357695155	-3.04614630541872	7.24048527036735e-106	NS	DOWN	False	True	5.10573861311103
ADGRL3	2.20076538461538	0.0071314748148259	-3.29539261083744	2.8168138110101802e-59	NS	DOWN	False	True	5.49615799545282
ADGRL4	1.23911538461538	0.0013074630996488	1.26440935960591	2.67822987430454e-39	NS	UP	False	True	-0.0252939749905301
ADGRV1	2.37946923076923	0.0028568854166758	-3.26699162561575	1.79589286202373e-63	NS	DOWN	False	True	5.64646085638498
ADH1A	0.584169230769234	0.559908341155533	1.99616305418719	1.19382626870926e-13	NS	UP	False	True	-1.4119938234179559
ADH1C	2.20826923076924	0.0285046708861292	1.49746206896552	7.03413013466493e-19	NS	UP	False	True	0.7108071618037202
ADH4	-0.0919499999999989	0.936111205034133	-1.01132463054187	2.65400910121539e-05	NS	DOWN	False	True	0.9193746305418711
ADH5	0.929538461538463	0.0007361693148289	2.65998078817734	1.9496607891568202e-223	NS	UP	False	True	-1.7304423266388769
ADH7	0.0664692307692318	0.964466960732814	-3.76163842364531	4.8745550997718695e-36	NS	DOWN	False	True	3.828107654414542
ADIPOQ	-0.0524461538461534	0.954380803949819	-4.24084581280788	9.626924793645991e-45	NS	DOWN	False	True	4.1883996589617265
ADIRF	-0.0842076923076931	0.898117688318514	-2.06473349753694	4.02129861645228e-71	NS	DOWN	False	True	1.980525805229247
ADM	0.902130769230768	0.127912696223136	3.46680246305419	1.01429324905983e-124	NS	UP	False	True	-2.564671693823422
ADM2	0.700411538461539	0.135124622112133	4.44320591133005	4.73713234892953e-124	NS	UP	False	True	-3.742794372868511
ADM5	-0.13255	0.79587505187706	-3.67524679802956	7.67036564572777e-163	NS	DOWN	False	True	3.5426967980295596
ADO	0.479150000000002	0.0963462226721394	1.63431477832512	5.705198195323369e-83	NS	UP	False	True	-1.155164778325118
ADORA1	1.03514615384615	0.0562090039462873	-2.37459507389163	1.57158245198812e-34	NS	DOWN	False	True	3.40974122773778
ADORA2A	0.826426923076923	0.0145852092491279	-1.66005763546798	5.43820182270316e-48	NS	DOWN	False	True	2.4864845585449027
ADORA3	1.27017692307692	0.0115188317488491	-5.74915714285713	4.46065355826126e-81	NS	DOWN	False	True	7.01933406593405
ADPGK	0.834846153846154	0.0011145367556847	1.0890724137931	4.7260175028466e-130	NS	UP	False	True	-0.25422625994694603
ADRA1A	-0.675734615384615	0.271931187518756	-2.38136650246304	4.3442530857793005e-15	NS	DOWN	False	True	1.7056318870784248
ADRA1B	1.51994230769231	0.053989113850171	3.45575024630542	6.572711325840211e-74	NS	UP	False	True	-1.9358079386131102
ADRA1D	0.722592307692308	0.291616731005451	-1.19524975369458	3.80249200618112e-12	NS	DOWN	False	True	1.917842061386888
ADRA2A	0.133269230769231	0.843855014290337	-4.47333103448276	6.79855335024928e-79	NS	DOWN	False	True	4.60660026525199
ADRA2C	-1.35377692307692	0.131413142270007	-2.94042955665025	4.42377399060754e-53	NS	DOWN	False	True	1.5866526335733298
ADRB2	0.816884615384616	0.199136451053165	-5.48328620689655	2.37332803477237e-162	NS	DOWN	False	True	6.300170822281166
ADRB3	0.711234615384618	0.413834655721329	-1.65454778325122	4.7171033298843204e-14	NS	DOWN	False	True	2.365782398635838
ADSL	0.414511538461537	0.0955411446835374	1.22270098522167	9.24385529108083e-82	NS	UP	False	True	-0.8081894467601329
ADSS1	0.0874000000000001	0.839659773348001	-1.89968177339901	3.81157683307799e-75	NS	DOWN	False	True	1.98708177339901
ADTRP	1.09985	0.0555922754801956	-3.41593793103449	8.76519170063296e-120	NS	DOWN	False	True	4.51578793103449
AEN	0.0007730769230782	0.998971598016997	2.37812068965517	1.4178674982554201e-95	NS	UP	False	True	-2.3773476127320916
AFDN	0.802857692307693	0.071840967831329	-2.13587684729064	2.57030686709589e-145	NS	DOWN	False	True	2.938734539598333
AFG1L	0.285126923076923	0.341184155490872	1.32956600985222	2.4497825779306e-80	NS	UP	False	True	-1.0444390867752968
AFM	0.611100000000002	0.355530801163064	-2.12645172413793	8.15129611662237e-18	NS	DOWN	False	True	2.7375517241379317
AFP	1.65516538461539	0.047920387700501	3.901381773399	1.2096550311579501e-31	NS	UP	False	True	-2.24621638878361
AGAP2	0.604938461538462	0.105114853878197	-2.7350197044335	2.0105880146031398e-122	NS	DOWN	False	True	3.3399581659719617
AGAP3	-0.429084615384612	0.063025984326125	-1.07619458128079	2.88866509695915e-130	NS	DOWN	False	True	0.6471099658961781
AGBL2	1.11182307692308	0.007910273101531	1.45612610837438	1.14553639996569e-38	NS	UP	False	True	-0.34430303145130003
AGBL4	1.78894615384616	0.053537449127819	-6.65858374384235	8.5429027246032e-130	NS	DOWN	False	True	8.44752989768851
AGFG2	0.402730769230768	0.244790560794898	-1.88563990147783	3.4532540472073903e-113	NS	DOWN	False	True	2.288370670708598
AGK	0.781880769230769	0.0096284762862781	1.171160591133	3.39636488567318e-115	NS	UP	False	True	-0.3892798219022311
AGMAT	-0.0566346153846153	0.903731589965235	3.63403596059113	1.59807264521256e-81	NS	UP	False	True	-3.690670575975745
AGPAT1	-0.145003846153846	0.598684768931162	1.27496748768472	2.0845332877270299e-103	NS	UP	False	True	-1.419971333838566
AGPAT4	0.824934615384616	0.103498219133684	1.92050837438424	5.91758658726377e-99	NS	UP	False	True	-1.095573758999624
AGPAT5	1.23929615384615	0.0014720960397143	1.87798965517241	9.316836463474661e-110	NS	UP	False	True	-0.63869350132626
AGPS	0.894057692307693	0.0106207238141957	2.0908566502463	3.04228134280431e-171	NS	UP	False	True	-1.196798957938607
AGR2	2.32509230769231	0.0545153104425548	-5.04799162561576	3.2663163188853e-65	NS	DOWN	False	True	7.37308393330807
AGR3	-0.471180769230768	0.446614794827537	-5.74459556650246	1.2469087400764801e-46	NS	DOWN	False	True	5.273414797271692
AGXT	0.129988461538464	0.922504692691582	-2.20279999999999	6.81203433225358e-14	NS	DOWN	False	True	2.332788461538454
AGXT2	-0.271076923076924	0.667990881895318	-1.40902807881773	9.430900245398919e-11	NS	DOWN	False	True	1.1379511557408062
